name,time_ns,compiler,cluster,source_file,kernel
s121_run_timed,130711271,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s121
s121_run_timed,130814162,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s121
s121_run_timed,130759842,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s121
base_s121,150646000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s121
base_s121,149998000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s121
base_s121,149362000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s121
base_s121,149193000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s121
base_s121,148640000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s121
base_s121,150053000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s121
base_s121,148577000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s121
base_s121,148706000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s121
base_s121,149378000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s121
base_s121,149016000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s121
s122_run_timed,33819005,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s122
s122_run_timed,34214077,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s122
s122_run_timed,33763974,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s122
s122_run_timed,33700124,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s122
s122_run_timed,33757365,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s122
s122_run_timed,33769445,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s122
s122_run_timed,34150677,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s122
s122_run_timed,33724214,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s122
s122_run_timed,33739404,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s122
s122_run_timed,33723234,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s122
s122_run_timed,33741944,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s122
dace_s122,36843000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s122
