,compiler,cluster,source_file,name,median_ns,mean_ns,variance_ns,impl,kernel
189,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s4117,71266000.0,71326900.0,73291433333.3336,dace,s4117
190,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s4121,58333000.0,58250636.36363637,34553254545.45452,dace,s4121
191,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s424,235424000.0,235329909.0909091,69207690909.08963,dace,s424
192,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s431,502667000.0,503089545.45454544,1446823672727.2666,dace,s431
193,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s441,81262000.0,81268818.18181819,34905563636.36395,dace,s441
194,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s442,61287500.0,61304000.0,580465999999.9996,dace,s442
195,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s443,127607000.0,127520700.0,171486455555.55548,dace,s443
196,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s451,213637000.0,213736363.63636363,145097254545.4544,dace,s451
197,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s452,233601000.0,233486727.27272728,110402218181.81723,dace,s452
198,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s453,132324000.0,132364818.18181819,205574363636.36414,dace,s453
199,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s471,103961500.0,104396600.0,1128730044444.4429,dace,s471
200,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s481,66180500.0,66192100.0,76840099999.99968,dace,s481
201,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s482,61475000.0,61546900.0,113653211111.11119,dace,s482
202,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s491,546244000.0,546291300.0,206636900000.00238,dace,s491
203,gcc,amd_epyc,runtimes_v7f_default.csv,s291_cpy,97574000.0,97540909.0909091,14944290909.0909,,
204,gcc,amd_epyc,runtimes_v7f_default.csv,s292_cpy,49680000.0,49711000.0,20235000000.0005,,
205,gcc,amd_epyc,runtimes_v7f_default.csv,s293_cpy,129276000.0,129176454.54545455,73936872727.27269,,
206,gcc,amd_epyc,runtimes_v7f_force_width_256.csv,cpp_s000,97436066.0,97427239.36363636,17318604818.854824,cpp,s000
207,gcc,amd_epyc,runtimes_v7f_force_width_256.csv,cpp_s111,88760637.0,88844727.9090909,93089897578.49266,cpp,s111
208,gcc,amd_epyc,runtimes_v7f_force_width_256.csv,cpp_s1111,101083710.0,101089509.54545455,14014463316.672913,cpp,s1111
209,gcc,amd_epyc,runtimes_v7f_force_width_256.csv,cpp_s1112,130356230.0,130366187.18181819,17416466485.963596,cpp,s1112
210,gcc,amd_epyc,runtimes_v7f_force_width_256.csv,cpp_s1113,98781507.0,98845324.63636364,196152502678.6567,cpp,s1113
211,gcc,amd_epyc,runtimes_v7f_force_width_256.csv,cpp_s1115,16076919.0,16068083.0,12760599871.599995,cpp,s1115
212,gcc,amd_epyc,runtimes_v7f_force_width_256.csv,cpp_s112,141556315.0,141571412.63636363,91245467677.25206,cpp,s112
213,gcc,amd_epyc,runtimes_v7f_force_width_256.csv,cpp_s113,198200268.0,198246209.0,73966964078.40134,cpp,s113
214,gcc,amd_epyc,runtimes_v7f_force_width_256.csv,cpp_s114,2186154.0,2195639.4545454546,606693264.2727253,cpp,s114
215,gcc,amd_epyc,runtimes_v7f_force_width_256.csv,cpp_s115,245772.0,292190.1818181818,9264198679.16364,cpp,s115
216,gcc,amd_epyc,runtimes_v7f_force_width_256.csv,cpp_s116,357883145.0,361601737.09090906,79563090935747.44,cpp,s116
217,gcc,amd_epyc,runtimes_v7f_force_width_256.csv,cpp_s1161,161994263.0,161307759.27272728,3755154508717.0225,cpp,s1161
